"full_name","diameter","class"
"  327P/Van Ness",,JFc
"  328P/LONEOS-Tucker",,JFc
"  329P/LINEAR-Catalina",,JFc
"  330P/Catalina",,JFc
"  331P/Gibbs",,ETc
"  332P/Ikeya-Murakami",,ETc
"  332P/Ikeya-Murakami-A",,ETc
"  332P/Ikeya-Murakami-B",,ETc
"  332P/Ikeya-Murakami-C",,ETc
"  332P/Ikeya-Murakami-D",,ETc
"  332P/Ikeya-Murakami-E",,ETc
"  332P/Ikeya-Murakami-F",,JFc
"  332P/Ikeya-Murakami-G",,ETc
"  332P/Ikeya-Murakami-H",,ETc
"  332P/Ikeya-Murakami-I",,ETc
"  333P/LINEAR",,JFC
"  334P/NEAT",,JFc
"  335P/Gibbs",,JFc
"  336P/McNaught",,JFc
"  337P/WISE",,JFc
"  338P/McNaught",,JFc
"  339P/Gibbs",,JFc
"  340P/Boattini",,JFc
"  341P/Gibbs",,JFc
"  342P/SOHO",,JFC
"  343P/NEAT-LONEOS",,JFc
"  344P/Read",,JFc
"  345P/LINEAR",,ETc
"  346P/Catalina",,JFc
"  347P/PANSTARRS",,JFc
"  348P/PANSTARRS",,ETc
"  349P/Lemmon",2.983,ETc
"  350P/McNaught",,ETc
"  351P/Wiegert-PANSTARRS",,JFc
"  352P/Skiff",,JFc
"  353P/McNaught",,JFc
"  354P/LINEAR",,ETc
"  355P/LINEAR-NEAT",,JFc
"  356P/WISE",,JFc
"  357P/Hill",,JFc
"  358P/PANSTARRS",,ETc
"  359P/LONEOS",,JFc
"  360P/WISE",,JFc
"  361P/Spacewatch",,JFc
"  363P/Lemmon",,JFc
"  364P/PANSTARRS",,JFc
"  365P/PANSTARRS",,JFc
"  366P/Spacewatch",,ETc
"  367P/Catalina",,ETc
"  368P/NEAT",,JFc
"  369P/Hill",,JFc
"  370P/NEAT",,JFc
"  371P/LINEAR-Skiff",,JFc
"  372P/McNaught",,JFc
"  373P/Rinner",,JFc
"  374P/Larson",,JFc
"  375P/Hill",,JFc
"  376P/LONEOS",,JFc
"  377P/Scotti",,JFc
"  378P/McNaught",,JFc
"  379P/Spacewatch",,JFc
"  380P/PANSTARRS",,JFc
"  381P/LINEAR-Spacewatch",,JFc
"  382P/Larson",,JFc
"  383P/Christensen",,JFc
"  384P/Kowalski",,JFc
"  385P/Hill",,JFc
"  386P/PANSTARRS",,JFc
"  387P/Boattini",,JFc
"  388P/Gibbs",,JFc
"  389P/Siding Spring",,JFC
"  390P/Gibbs",,JFc
"  391P/Kowalski",,JFc
"  392P/LINEAR",,JFc
"  393P/Spacewatch-Hill",,JFc
"  394P/PANSTARRS",,JFc
"  395P/Catalina-NEAT",,JFc
"  396P/Leonard",,JFc
"  397P/Lemmon",,JFc
"  398P/Boattini",,JFc
"  399P/PANSTARRS",,JFc
"  400P/PANSTARRS",,JFc
"  401P/McNaught",,JFc
"  402P/LINEAR",,JFc
"  403P/CATALINA",,JFc
"  404P/Bressi",,JFc
"  405P/Lemmon",,JFc
"  406P/Gibbs",,JFc
"  407P/PANSTARRS-Fuls",,ETc
"  408P/Novichonok-Gerke",,JFc
"  409P/LONEOS-Hill",,JFc
"  410P/NEAT-LINEAR",,JFc
"  411P/Christensen",,JFc
"  412P/WISE",,ETc
"  413P/Larson",,JFc
"  414P/STEREO",,JFc
"  415P/Tenagra",,JFc
"  416P/Scotti",,JFc
"  417P/NEOWISE",,JFc
"  418P/LINEAR",,JFc
"  419P/PANSTARRS",,ETc
"  420P/Hill",,JFc
"  421P/McNaught",,JFc
"  422P/Christensen",,JFc
"  423P/Lemmon",,JFc
"  424P/La Sagra",,JFc
"  425P/Kowalski",,JFc
"  426P/PANSTARRS",,ETc
"  427P/ATLAS",,ETc
"  428P/Gibbs",,JFc
"  429P/LINEAR-Hill",,JFc
"  430P/Scotti",,ETc
"  431P/Scotti",,JFc
"  432P/PANSTARRS",,ETc
"  434P/Tenagra",,JFc
"  435P/PANSTARRS",,ETc
"  436P/Garradd",,JFc
"  437P/Lemmon-PANSTARRS",,JFc
"  438P/Christensen",,JFc
"  439P/LINEAR",,JFc
"  440P/Kobayashi",,JFc
"  441P/PANSTARRS",,ETc
"  442P/McNaught",,JFc
"  443P/PANSTARRS-Christensen",,JFc
"  444P/WISE-PANSTARRS",,JFc
"  445P/Lemmon-PANSTARRS",,JFc
"  446P/McNaught",,JFc
"  447P/Sheppard-Tholen",,JFc
"  448P/PANSTARRS",,JFc
"  449P/Leonard",,JFc
"  450P/LONEOS",,JFc
"  451P/Christensen",,JFc
"  452P/Sheppard-Jewitt",,JFc
"  453P/WISE-Lemmon",,JFc
"  454P/PANSTARRS",,JFc
"  455P/PANSTARRS",,ETc
"  456P/PANSTARRS",,ETc
